"game_id","idTeam","team_id","game","agg_plusminusTeam","agg_ptsTeam","agg_pctFG3Team","agg_pctFG2Team","agg_astTeam","agg_stlTeam","agg_blkTeam","agg_tovTeam","agg_pfTeam","agg_orebTeam","agg_drebTeam","agg_ftmTeam","B2BTeam","plusminusTeam","segSeason","win","opp_idTeam","opp_agg_plusminusTeam","opp_agg_ptsTeam","opp_agg_pctFG3Team","opp_agg_pctFG2Team","opp_agg_astTeam","opp_agg_stlTeam","opp_agg_blkTeam","opp_agg_tovTeam","opp_agg_pfTeam","opp_agg_orebTeam","opp_agg_drebTeam","opp_agg_ftmTeam","opp_B2BTeam","WL_diff","rest_diff"
21300051,1610612761,1610612761,4,1.5,71.25,0.225703324808184,0.35557920340529,12.25,5,3,11.75,18,11.75,25.75,12,FALSE,-9,1,0,1610612748,3.4,84,0.371481481481481,0.430825410755205,22.4,7.2,3,14.4,18.6,4.8,21.8,15.8,FALSE,0.1,1
21300052,1610612751,1610612751,4,-6,70.25,0.277573529411765,0.327807250221043,17,4.5,5.25,11.5,19.75,6.75,23,15,FALSE,16,1,1,1610612762,-4.25,68.75,0.18716577540107,0.354285826730335,14.25,4.5,3,14.5,18.25,11.75,22.25,14.5,FALSE,0.25,-1
21300053,1610612765,1610612765,4,4.5,77,0.215544871794872,0.394549486461251,15.25,7.75,4.25,15,17,10.5,21.75,15,FALSE,-8,1,0,1610612754,7.5,70.25,0.300922542930216,0.343627876682588,15,3.75,9,15,11.75,6.5,26.5,15.5,FALSE,-0.25,-1
21300054,1610612752,1610612752,4,-0.75,67.75,0.221754807692308,0.366915969010401,14.5,7.75,4.25,13.25,16.5,8.25,23,9,FALSE,-5,1,0,1610612766,-7,64.25,0.198214285714286,0.327982599333148,12,5.75,4.5,9.75,15.75,7.75,21,13.75,FALSE,0,-1
21300055,1610612740,1610612740,4,-1,71.25,0.373251748251748,0.300190714908457,15.75,6,7,11,19,10,22.5,15.25,FALSE,-6,1,0,1610612756,2.25,71.75,0.215407991723781,0.35945392918414,13.5,7.25,4.5,14.25,16,9.75,24.25,12.75,FALSE,-0.25,1
21300056,1610612742,1610612742,4,3.25,83.5,0.290021929824561,0.357434462245084,17.25,7,3.25,11.25,19.75,9.25,23.25,19.75,FALSE,19,1,1,1610612747,-4.4,80,0.316699872286079,0.334181338028169,18.2,4.4,4.8,12.2,17.6,8.2,29.8,14.2,FALSE,0.1,1
21300057,1610612743,1610612743,3,-5.66666666666667,62,0.222222222222222,0.274498456790123,11,3,5.33333333333333,8,13.3333333333333,9.33333333333333,22.6666666666667,11.6666666666667,FALSE,-8,1,0,1610612759,0.75,74.25,0.32202380952381,0.367477984344423,17.25,4,2,9.75,15.25,7,24.25,6.25,FALSE,-0.5,1
21300058,1610612757,1610612757,4,3,79.75,0.336013986013986,0.357868300491251,18.25,2.75,4.25,9.25,13.5,8.5,24.75,11.25,FALSE,-15,1,0,1610612745,2.6,86.2,0.285680250783699,0.440837164211777,14.2,5.6,4,15.2,16.2,9.8,28.4,21,TRUE,-0.1,2
21300059,1610612758,1610612758,4,-4.5,69.5,0.24116569704805,0.323495064339855,12.5,6,3.25,9.75,17.75,9.25,21.75,15,FALSE,-5,1,0,1610612737,-1,78.5,0.294301712779974,0.373764035528741,19.25,8,2.75,10.75,13.5,5.5,25,15.25,FALSE,0,1
21300060,1610612766,1610612766,5,-4.6,71.8,0.234761904761905,0.350386079466518,13,6.4,4.6,12.2,17.6,9.4,23.8,17.8,TRUE,2,1,1,1610612761,-0.6,76,0.237705516989404,0.382502578410507,12.8,4.8,2.6,12.4,18.6,12,26,15,TRUE,0,0
21300061,1610612754,1610612754,5,7.6,76,0.326452320058458,0.386440762884532,17.2,4.2,9,15.6,13.6,6,29.4,15.2,TRUE,17,1,1,1610612741,-3.5,70.25,0.167754120879121,0.362891405729514,17.75,6,3,14,14.25,10.25,24.75,13,FALSE,0.55,-3
21300062,1610612753,1610612753,5,5.2,83.8,0.351163857355808,0.388231724875561,15.8,7,4.6,14.2,18.6,9,29.2,10.8,FALSE,8,1,1,1610612746,5.2,95.2,0.319423558897243,0.443669658016008,22.6,7.4,4,12.4,21.8,9,23.2,19.6,FALSE,-0.2,1
21300063,1610612755,1610612755,5,-1.2,84,0.268364389233954,0.416368609491222,18.6,8.2,3.2,15.2,14.8,8.2,27.2,12.4,FALSE,-14,1,0,1610612764,-7,74.25,0.286538461538462,0.341431529070264,17,6.75,2.75,14,18,11.25,20,11.5,FALSE,0.6,-1
21300064,1610612738,1610612738,5,-6,70,0.203653846153846,0.409985686402082,11.4,7.8,4.6,16.8,19.8,7.4,23.4,14.6,FALSE,10,1,1,1610612762,-6.6,72.6,0.1941770647653,0.367803661384268,14.8,4.8,3,15.8,19.4,13.2,23.4,16,TRUE,0,1
21300065,1610612763,1610612763,5,-1.8,79.8,0.2775,0.395600810425351,18.4,6.2,2.2,14.2,17.8,8.6,25.2,14.6,FALSE,-15,1,0,1610612740,-2,76.6,0.40971250971251,0.320749586852139,17.8,7.2,7.8,11.6,19.2,9.6,24.4,15,TRUE,0.2,1
21300066,1610612749,1610612749,4,-1.75,69.5,0.266360294117647,0.345744105559161,15.5,6.75,4,11.25,18,7,20.5,12.25,FALSE,5,1,1,1610612739,-3.2,69.8,0.213611111111111,0.346826319460591,13.6,8.2,3.4,14.2,19.6,8.8,26.4,12.4,FALSE,-0.15,2
